"","x"
"z[292]",0.93068
"z[293]",0.95115
"z[294]",0.95877
"z[295]",0.96367
"z[296]",0.96363
"z[297]",0.98603
"z[298]",0.99444
"z[299]",0.9971
"z[300]",0.99796
"z[301]",0.9981
"z[302]",0.99811
"z[303]",0.99871
"z[304]",0.99858
"z[305]",0.99768
"z[306]",0.99607
"z[307]",0.99722
"z[308]",0.99689
"z[309]",0.9953
"z[310]",0.99022
"z[311]",0.97979
"z[312]",0.97876
"z[313]",0.97362
"z[314]",0.95892
"z[315]",0.94756
"z[316]",0.96247
"z[317]",0.96802
"z[318]",0.96821
"z[319]",0.97137
"z[320]",0.97266
"z[321]",0.97975
"z[322]",0.98194
"z[323]",0.9854
"z[324]",0.98716
"z[325]",0.98607
"z[326]",0.9895
"z[327]",0.99147
"z[328]",0.99144
"z[329]",0.99273
"z[330]",0.99419
"z[331]",0.99437
"z[332]",0.99375
"z[333]",0.99335
"z[334]",0.99185
"z[335]",0.99296
"z[336]",0.99285
"z[337]",0.99383
"z[338]",0.99353
"z[339]",0.99146
"z[340]",0.986
"z[341]",0.97766
"z[342]",0.95713
"z[343]",0.94053
"z[344]",0.95322
"z[345]",0.95728
"z[346]",0.97203
"z[347]",0.98393
"z[348]",0.99305
"z[349]",0.9965
"z[350]",0.99807
"z[351]",0.99912
"z[352]",0.9995
"z[353]",0.99947
"z[354]",0.9991
"z[355]",0.99923
"z[356]",0.9992
"z[357]",0.99941
"z[358]",0.99953
"z[359]",0.99948
"z[360]",0.9992
"z[361]",0.99893
"z[362]",0.99838
"z[363]",0.99859
"z[364]",0.99839
"z[365]",0.99782
"z[366]",0.99824
"z[367]",0.99787
"z[368]",0.99817
"z[369]",0.99771
"z[370]",0.99614
"z[371]",0.9951
"z[372]",0.99234
"z[373]",0.98646
"z[374]",0.99133
"z[375]",0.99304
"z[376]",0.99271
"z[377]",0.99076
"z[378]",0.98892
"z[379]",0.99321
"z[380]",0.99449
"z[381]",0.997
"z[382]",0.99772
"z[383]",0.99879
"z[384]",0.99934
"z[385]",0.99964
"z[386]",0.99961
"z[387]",0.99966
"z[388]",0.99966
"z[389]",0.9996
"z[390]",0.99945
"z[391]",0.9996
"z[392]",0.99964
"z[393]",0.99943
"z[394]",0.99964
"z[395]",0.99971
"z[396]",0.9997
"z[397]",0.99962
"z[398]",0.99951
"z[399]",0.99958
"z[400]",0.99946
"z[401]",0.99916
"z[402]",0.99815
"z[403]",0.99604
"z[404]",0.99592
"z[405]",0.99403
"z[406]",0.98901
"z[407]",0.98062
"z[408]",0.95835
"z[409]",0.90455
"z[410]",0.76266
"z[411]",0.41417
"z[412]",0.07464
"z[413]",0.07458
"z[414]",0.06918
"z[415]",0.59719
"z[416]",0.8027
"z[417]",0.91441
"z[418]",0.95855
"z[419]",0.97701
"z[420]",0.99023
"z[421]",0.99538
"z[422]",0.99703
"z[423]",0.99835
"z[424]",0.99906
"z[425]",0.9993
"z[426]",0.9992
"z[427]",0.99887
"z[428]",0.99941
"z[429]",0.99926
"z[430]",0.99904
"z[431]",0.99938
"z[432]",0.99967
"z[433]",0.99979
"z[434]",0.99987
"z[435]",0.99986
"z[436]",0.99979
"z[437]",0.99985
"z[438]",0.99985
"z[439]",0.99982
"z[440]",0.99976
"z[441]",0.99979
"z[442]",0.99972
"z[443]",0.99935
"z[444]",0.99887
"z[445]",0.99889
"z[446]",0.99921
"z[447]",0.99918
"z[448]",0.99884
"z[449]",0.99907
"z[450]",0.99911
"z[451]",0.9983
"z[452]",0.99848
"z[453]",0.9992
"z[454]",0.9996
"z[455]",0.99973
"z[456]",0.99952
"z[457]",0.99952
"z[458]",0.99938
"z[459]",0.99915
"z[460]",0.99912
"z[461]",0.99863
"z[462]",0.99905
"z[463]",0.99934
"z[464]",0.99946
"z[465]",0.9993
"z[466]",0.99884
"z[467]",0.99771
"z[468]",0.9951
"z[469]",0.98765
"z[470]",0.97779
"z[471]",0.95344
"z[472]",0.89068
"z[473]",0.80169
"z[474]",0.57487
"z[475]",0.00303
"z[476]",0.19023
"z[477]",0.28517
